#PG [cm]	PB [cm]	B [cm]	x [cm]	?x [cm]	x’ [cm]	?x’ [cm]	1+1/?	?(1+1/?)	1+?	?(1+?)
78.4	51	2.4	18.4	0.15	9	0.15	2.1	0.1	1.92	0.09
77.5	50.5	2.6	17.5	0.15	9.5	0.15	2	0.09	2	0.09
77.2	50	2.8	17.2	0.15	10	0.15	1.93	0.08	2.1	0.1
76.7	49.5	3	16.7	0.15	10.5	0.15	1.87	0.08	2.2	0.1
76.2	49	3.4	16.2	0.15	11	0.15	1.76	0.07	2.31	0.11
76.2	48.5	3.5	16.2	0.15	11.5	0.15	1.74	0.07	2.35	0.12
76	48	3.7	16	0.15	12	0.15	1.7	0.06	2.42	0.12
75.9	47.5	4	15.9	0.15	12.5	0.15	1.65	0.06	2.54	0.13
75.7	47	4.3	15.7	0.15	13	0.15	1.6	0.05	2.65	0.14
75.4	46.5	4.5	15.4	0.15	13.5	0.15	1.58	0.05	2.73	0.14
